S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,percentage  of Votes,Assembly Constituency,Assembly Constituency Number ,State 
2178,Y. VISWESWARA REDDY,Yuvajana Sramika Rythu Congress Party,79746,596,80342,41.3,Uravakonda,149,Andhra Pradesh 
2179,KURUBA CHINNAKKA,All India Kisan Janatha party,353,2,355,0.18,Uravakonda,149,Andhra Pradesh 
2180,B. PAVAN KUMAR,Bharatha Chaitanya Yuvajana Party,155,3,158,0.08,Uravakonda,149,Andhra Pradesh 
2181,YARRANNA GARI RAMANJINEYALU,Jai Bharat National Party,176,1,177,0.09,Uravakonda,149,Andhra Pradesh 
2182,KARANAM BHARANGI MOHANDAS,Independent,177,1,178,0.09,Uravakonda,149,Andhra Pradesh 
2183,V. CHANDRASEKHAR REDDY,Independent,293,0,293,0.15,Uravakonda,149,Andhra Pradesh 
2184,K. DAMODAR REDDY,Independent,228,0,228,0.12,Uravakonda,149,Andhra Pradesh 
2185,VISWESWARAIAH,Independent,469,0,469,0.24,Uravakonda,149,Andhra Pradesh 
2186,NOTA,None of the Above,1900,15,1915,0.98,Uravakonda,149,Andhra Pradesh 
2187,GUMMANUR JAYARAM,Telugu Desam,99952,1748,101700,49.19,Guntakal,150,Andhra Pradesh 
2188,K. PRABHAKAR,Indian National Congress,5074,72,5146,2.49,Guntakal,150,Andhra Pradesh 
2189,Y. VENKATA RAMA REDDY,Yuvajana Sramika Rythu Congress Party,93856,1018,94874,45.89,Guntakal,150,Andhra Pradesh 
2190,SHAIK ABDUL MALIK,Bahujan Samaj Party,928,10,938,0.45,Guntakal,150,Andhra Pradesh 
2191,JANGAM KRISHNA,Samajwadi Party,126,2,128,0.06,Guntakal,150,Andhra Pradesh 
2192,M. SASHIBUSHAN REDDY,Bharatha Chaitanya Yuvajana Party,81,0,81,0.04,Guntakal,150,Andhra Pradesh 
2193,RAHIMA P,Jaibhim Rao Bharat Party,97,1,98,0.05,Guntakal,150,Andhra Pradesh 
2194,G.M. ARUN KUMAR,Independent,107,1,108,0.05,Guntakal,150,Andhra Pradesh 
2195,C. ADINARAYANA CHOWDARY,Independent,72,0,72,0.03,Guntakal,150,Andhra Pradesh 
2196,EDIGA PEDDA ANJANEYULU,Independent,118,0,118,0.06,Guntakal,150,Andhra Pradesh 
2197,M. KHAMAR BEGAM,Independent,118,1,119,0.06,Guntakal,150,Andhra Pradesh 
2198,BOYAGADDA ARUNAMMA,Independent,149,2,151,0.07,Guntakal,150,Andhra Pradesh 
2199,RABBONI VICTOR HATTIBELAGAL,Independent,265,0,265,0.13,Guntakal,150,Andhra Pradesh 
2200,SHAIK MAHABOOB BASHA,Independent,1180,10,1190,0.58,Guntakal,150,Andhra Pradesh 
2201,NOTA,None of the Above,1713,30,1743,0.84,Guntakal,150,Andhra Pradesh 
2202,ASHMIT REDDY J.C,Telugu Desam,112313,1442,113755,54.77,Tadpatri,151,Andhra Pradesh 
2203,KETHIREDDY PEDDAREDDY,Yuvajana Sramika Rythu Congress Party,85245,779,86024,41.42,Tadpatri,151,Andhra Pradesh 
2204,GUJJALA NAGIREDDY,Indian National Congress,2607,21,2628,1.27,Tadpatri,151,Andhra Pradesh 
2205,GANDIKOTA NAGA SUBBARAYUDU,Bahujan Samaj Party,415,5,420,0.2,Tadpatri,151,Andhra Pradesh 
2206,B.DHAKA RAJU,Bharatha Chaitanya Yuvajana Party,153,0,153,0.07,Tadpatri,151,Andhra Pradesh 
2207,DR. NALLANI.RAMESH NAIDU,Andhra Rastra Praja Samithi,778,6,784,0.38,Tadpatri,151,Andhra Pradesh 
2208,PALURU NEELAKANTA ACHARI,Jai Bharat National Party,129,1,130,0.06,Tadpatri,151,Andhra Pradesh 
2209,A D MAHABOOB BASHA,Samajwadi Party,75,0,75,0.04,Tadpatri,151,Andhra Pradesh 
2210,NEELURI RUSHINGAPPA,Jaathia Chethi Vruthula Ikya Vedika Party,104,1,105,0.05,Tadpatri,151,Andhra Pradesh 
2211,Y. VEERA NAGARAJU,Jaibhim Rao Bharat Party,130,2,132,0.06,Tadpatri,151,Andhra Pradesh 
2212,SIDDAVATAM SAI RAM REDDY,Rashtriya Samaj Dal (R),98,0,98,0.05,Tadpatri,151,Andhra Pradesh 
2213,AKULA NAGARAJU,Independent,115,0,115,0.06,Tadpatri,151,Andhra Pradesh 
2214,S.KAMBAGIRI RAMUDU,Independent,138,0,138,0.07,Tadpatri,151,Andhra Pradesh 
2215,CHANDRA OBUL REDDY R,Independent,107,0,107,0.05,Tadpatri,151,Andhra Pradesh 
2216,PEDDI REDDY L,Independent,243,1,244,0.12,Tadpatri,151,Andhra Pradesh 
2217,C. RAMA BAYAPA REDDY,Independent,636,0,636,0.31,Tadpatri,151,Andhra Pradesh 
2218,RAMINENI RAMAMOHAN,Independent,752,0,752,0.36,Tadpatri,151,Andhra Pradesh 
2219,SOMASEKHAR NAIDU PARIMI,Independent,383,0,383,0.18,Tadpatri,151,Andhra Pradesh 
2220,NOTA,None of the Above,983,17,1000,0.48,Tadpatri,151,Andhra Pradesh 
2221,KUNDANAM GOWTHAMI,Bahujan Samaj Party,3890,6,3896,1.87,Singanamala (SC),152,Andhra Pradesh 
2222,BANDARU SRAVANI SREE,Telugu Desam,101779,1178,102957,49.44,Singanamala (SC),152,Andhra Pradesh 
2223,M.VEERANJANEYULU,Yuvajana Sramika Rythu Congress Party,93551,618,94169,45.22,Singanamala (SC),152,Andhra Pradesh 
2224,DR. SAKE SAILAJANATH,Indian National Congress,3426,43,3469,1.67,Singanamala (SC),152,Andhra Pradesh 
2225,KAPPALA NAGARAJU,All India Kisan Janatha party,225,2,227,0.11,Singanamala (SC),152,Andhra Pradesh 
2226,G. RAMANJINEYULU,Jaibhim Rao Bharat Party,167,1,168,0.08,Singanamala (SC),152,Andhra Pradesh 
2227,VENKATA SUBBANNA YATA,Telugu Rajadhikara Samiti Party,157,0,157,0.08,Singanamala (SC),152,Andhra Pradesh 
2228,SAKE SREEDEVI,Jai Maha Bharath Party,110,0,110,0.05,Singanamala (SC),152,Andhra Pradesh 
2229,ANAND KUMAR. M,Independent,87,0,87,0.04,Singanamala (SC),152,Andhra Pradesh 
2230,KAYALA RAMA MOHAN,Independent,96,1,97,0.05,Singanamala (SC),152,Andhra Pradesh 
2231,KODAMALA OBULESU,Independent,142,0,142,0.07,Singanamala (SC),152,Andhra Pradesh 
2232,MANNEPAKULA MADHAVA,Independent,230,0,230,0.11,Singanamala (SC),152,Andhra Pradesh 
2233,MIDDE NALLAPPA,Independent,229,0,229,0.11,Singanamala (SC),152,Andhra Pradesh 
2234,V. SAI PRASAD,Independent,389,0,389,0.19,Singanamala (SC),152,Andhra Pradesh 
2235,NOTA,None of the Above,1899,7,1906,0.92,Singanamala (SC),152,Andhra Pradesh 
2236,AMILINENI SURENDRA BABU,Telugu Desam,117364,1514,118878,57.75,Kalyandurg,154,Andhra Pradesh 
2237,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,80353,791,81144,39.42,Kalyandurg,154,Andhra Pradesh 
2238,PERAMNETI RAMBHUPAL REDDY,Indian National Congress,2557,28,2585,1.26,Kalyandurg,154,Andhra Pradesh 
2239,HARIJANA NAGAMMA,Bahujan Samaj Party,434,6,440,0.21,Kalyandurg,154,Andhra Pradesh 
2240,BANGARU GIRIPRASAD REDDY,Andhra Rastra Praja Samithi,120,0,120,0.06,Kalyandurg,154,Andhra Pradesh 
2241,P.M.LAKSHMANA MURTHY,Jai Bharat National Party,135,0,135,0.07,Kalyandurg,154,Andhra Pradesh 
2242,HARIJANA VENKATESULU,Jaibhim Rao Bharat Party,135,0,135,0.07,Kalyandurg,154,Andhra Pradesh 
2243,KURUBA MUKKANNA,Independent,100,0,100,0.05,Kalyandurg,154,Andhra Pradesh 
2244,GANGURI SURESH,Independent,81,0,81,0.04,Kalyandurg,154,Andhra Pradesh 
2245,T. VISWANATH,Independent,84,0,84,0.04,Kalyandurg,154,Andhra Pradesh 
2246,NANEVATH BALARAM NAIK,Independent,96,2,98,0.05,Kalyandurg,154,Andhra Pradesh 
2247,BALIJA LAKSHMI NARAYANA,Independent,110,0,110,0.05,Kalyandurg,154,Andhra Pradesh 
2248,MEENUGA ASHOK,Independent,97,0,97,0.05,Kalyandurg,154,Andhra Pradesh 
2249,RAMESH EGITI,Independent,137,0,137,0.07,Kalyandurg,154,Andhra Pradesh 
2250,SREERANGARAJULA GOPINATH ROYAL,Independent,247,0,247,0.12,Kalyandurg,154,Andhra Pradesh 
2251,NOTA,None of the Above,1442,8,1450,0.7,Kalyandurg,154,Andhra Pradesh 
2252,ADI ANDHRA SAKE SANKARAIAH,Indian National Congress,3421,35,3456,1.59,Raptadu,155,Andhra Pradesh 
2253,M ANJAIAH,Bahujan Samaj Party,811,4,815,0.38,Raptadu,155,Andhra Pradesh 
2254,THOPUDURTHI PRAKASH REDDY,Yuvajana Sramika Rythu Congress Party,91538,1273,92811,42.74,Raptadu,155,Andhra Pradesh 
2255,PARITALA SUNITHAMMA,Telugu Desam,113734,2406,116140,53.48,Raptadu,155,Andhra Pradesh 
2256,KURUBA S MALLIKARJUNA,All India Kisan Janatha party,307,1,308,0.14,Raptadu,155,Andhra Pradesh 
2257,B NARESH S/O B NARAYANA,Navataram Party,692,6,698,0.32,Raptadu,155,Andhra Pradesh 
2258,K NARESH S/O PEDDA YALLAPPA KODAVANDLA,Jaibhim Rao Bharat Party,69,0,69,0.03,Raptadu,155,Andhra Pradesh 
2259,KANAGALA VIJAY KUMAR,Independent,39,1,40,0.02,Raptadu,155,Andhra Pradesh 
2260,MANLU KOSE RAMANJI,Independent,88,0,88,0.04,Raptadu,155,Andhra Pradesh 
2261,E RAVI VARMA,Independent,95,0,95,0.04,Raptadu,155,Andhra Pradesh 
2262,Y RAJASEKHAR,Independent,139,0,139,0.06,Raptadu,155,Andhra Pradesh 
2263,C VENKATA RAMUDU,Independent,217,0,217,0.1,Raptadu,155,Andhra Pradesh 
2264,SAKE RAJESH KUMAR,Independent,564,11,575,0.26,Raptadu,155,Andhra Pradesh 
2265,NOTA,None of the Above,1670,36,1706,0.79,Raptadu,155,Andhra Pradesh 
2266,D.INDEEVAR,Bahujan Samaj Party,3742,4,3746,2.01,Madakasira (SC),156,Andhra Pradesh 
2267,IRALAKKAPPA.S.L,Yuvajana Sramika Rythu Congress Party,79148,484,79632,42.78,Madakasira (SC),156,Andhra Pradesh 
2268,M.S.RAJU,Telugu Desam,79244,739,79983,42.97,Madakasira (SC),156,Andhra Pradesh 
2269,K.SUDHAKAR,Indian National Congress,17036,344,17380,9.34,Madakasira (SC),156,Andhra Pradesh 
2270,PARADESANNA GARI HANUMANTHARAJU,Radical Party of India (Ambedkarist),275,0,275,0.15,Madakasira (SC),156,Andhra Pradesh 
2271,B.KARININGAPPA,Independent,103,0,103,0.06,Madakasira (SC),156,Andhra Pradesh 
2272,R.GURUMURTHY,Independent,128,0,128,0.07,Madakasira (SC),156,Andhra Pradesh 
2273,T.DHANARAJ,Independent,860,5,865,0.46,Madakasira (SC),156,Andhra Pradesh 
2274,R.G.PAVITHRA,Independent,300,0,300,0.16,Madakasira (SC),156,Andhra Pradesh 
2275,K.RAVEENDRA,Independent,113,1,114,0.06,Madakasira (SC),156,Andhra Pradesh 
2276,M.RAJANNA,Independent,163,3,166,0.09,Madakasira (SC),156,Andhra Pradesh 
2277,M.LAKSHMINARASAPPA,Independent,308,2,310,0.17,Madakasira (SC),156,Andhra Pradesh 
2278,HALLIKERA JAGANNATHA PRASAD,Independent,401,7,408,0.22,Madakasira (SC),156,Andhra Pradesh 
2279,NOTA,None of the Above,2720,8,2728,1.47,Madakasira (SC),156,Andhra Pradesh 
2280,M H ENAYATHULLA,Indian National Congress,8894,64,8958,4.57,Hindupur,157,Andhra Pradesh 
2281,DEEPIKA T N,Yuvajana Sramika Rythu Congress Party,74176,477,74653,38.1,Hindupur,157,Andhra Pradesh 
2282,NANDAMURI BALAKRISHNA,Telugu Desam,105778,1472,107250,54.73,Hindupur,157,Andhra Pradesh 
2283,M SREERAMULU,Bahujan Samaj Party,644,2,646,0.33,Hindupur,157,Andhra Pradesh 
2284,KODUMURU NOUSHAD,Andhra Pradesh Rashtra Samithi,161,1,162,0.08,Hindupur,157,Andhra Pradesh 
2285,G.NAGARAJU,Jaibhim Rao Bharat Party,162,1,163,0.08,Hindupur,157,Andhra Pradesh 
2286,V.RAVINDRA,Socialist Unity Centre Of India (COMMUNIST),111,2,113,0.06,Hindupur,157,Andhra Pradesh 
2287,SHAIK SHOUKATH,Samajwadi Party,130,1,131,0.07,Hindupur,157,Andhra Pradesh 
2288,MOHAMED GOUS,Independent,94,0,94,0.05,Hindupur,157,Andhra Pradesh 
2289,G.LOKENDRANATH,Independent,125,1,126,0.06,Hindupur,157,Andhra Pradesh 
2290,K.SAI NANDI,Independent,111,0,111,0.06,Hindupur,157,Andhra Pradesh 
2291,SWAMI PARIPOORNANANDA SARASWATHI,Independent,1475,37,1512,0.77,Hindupur,157,Andhra Pradesh 
2292,SUMALATHA MADANNA GARI R,Independent,356,0,356,0.18,Hindupur,157,Andhra Pradesh 
2293,NOTA,None of the Above,1676,10,1686,0.86,Hindupur,157,Andhra Pradesh 
2294,M ADINARAYANA,Bahujan Samaj Party,6193,8,6201,2.99,Penukonda,158,Andhra Pradesh 
2295,K.V. USHA SHRICHARAN,Yuvajana Sramika Rythu Congress Party,79795,649,80444,38.75,Penukonda,158,Andhra Pradesh 
2296,PURROLLA NARASIMHAPPA,Indian National Congress,3988,19,4007,1.93,Penukonda,158,Andhra Pradesh 
2297,S. SAVITHA,Telugu Desam,111960,1872,113832,54.83,Penukonda,158,Andhra Pradesh 
2298,N NAGARAJU,Jaibhim Rao Bharat Party,411,2,413,0.2,Penukonda,158,Andhra Pradesh 
2299,NARASIMHULU.A,Independent,135,0,135,0.07,Penukonda,158,Andhra Pradesh 
2300,B. MAHESH,Independent,188,0,188,0.09,Penukonda,158,Andhra Pradesh 
2301,SUGALI GANESH NAIK,Independent,171,0,171,0.08,Penukonda,158,Andhra Pradesh 
2302,HABEEB,Independent,251,1,252,0.12,Penukonda,158,Andhra Pradesh 
2303,NOTA,None of the Above,1956,16,1972,0.95,Penukonda,158,Andhra Pradesh 
2304,AMPAVATHINI GOVINDHU,Bahujan Samaj Party,3805,6,3811,2.07,Puttaparthi,159,Andhra Pradesh 
2305,DAADHI REDDY MADUSUDHAN REDDY,Indian National Congress,1977,20,1997,1.09,Puttaparthi,159,Andhra Pradesh 
2306,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,82216,765,82981,45.1,Puttaparthi,159,Andhra Pradesh 
2307,PALLE SINDHURA REDDY,Telugu Desam,90173,1568,91741,49.87,Puttaparthi,159,Andhra Pradesh 
2308,KARAMSI BALAJI NAIK,Jai Bharat National Party,361,1,362,0.2,Puttaparthi,159,Andhra Pradesh 
2309,BALA RAMANJINEYULU,Bharatha Chaitanya Yuvajana Party,124,1,125,0.07,Puttaparthi,159,Andhra Pradesh 
2310,U. ADBUL KHADER,Independent,189,0,189,0.1,Puttaparthi,159,Andhra Pradesh 
2311,KADIRISANI VENU GOPAL,Independent,121,1,122,0.07,Puttaparthi,159,Andhra Pradesh 
2312,K. K. KUMAR,Independent,75,0,75,0.04,Puttaparthi,159,Andhra Pradesh 
2313,T. NARAYANA SWAMI,Independent,163,0,163,0.09,Puttaparthi,159,Andhra Pradesh 
2314,PETLA SUDHAKAR,Independent,61,1,62,0.03,Puttaparthi,159,Andhra Pradesh 
2315,MAYAKUNTLA VENKATESH,Independent,102,0,102,0.06,Puttaparthi,159,Andhra Pradesh 
2316,RAGHUNATHA REDDY AOUK,Independent,220,1,221,0.12,Puttaparthi,159,Andhra Pradesh 
2317,RAMAVATH RANGANATH NAIK,Independent,331,1,332,0.18,Puttaparthi,159,Andhra Pradesh 
2318,M. SURESH,Independent,310,0,310,0.17,Puttaparthi,159,Andhra Pradesh 
2319,NOTA,None of the Above,1372,10,1382,0.75,Puttaparthi,159,Andhra Pradesh 
2320,KETHIREDDY VENKATA RAMI REDDY,Yuvajana Sramika Rythu Congress Party,101983,827,102810,46.76,Dharmavaram,160,Andhra Pradesh 
2321,RANGANA ASWARTHA NARAYANA,Indian National Congress,3722,36,3758,1.71,Dharmavaram,160,Andhra Pradesh 
2322,VINAY KUMAR SAKE,Bahujan Samaj Party,1089,6,1095,0.5,Dharmavaram,160,Andhra Pradesh 
2323,SATYA KUMAR YADAV,Bharatiya Janata Party,104957,1587,106544,48.46,Dharmavaram,160,Andhra Pradesh 
2324,DARA SHANKAR,Jaibhim Rao Bharat Party,616,0,616,0.28,Dharmavaram,160,Andhra Pradesh 
2325,SHEK AYAZ,Navataram Party,1146,9,1155,0.53,Dharmavaram,160,Andhra Pradesh 
2326,ILIYAZ AHMMAD SAYYAD,Independent,132,0,132,0.06,Dharmavaram,160,Andhra Pradesh 
2327,MACHIREDDY GARI ESWAR REDDY,Independent,98,0,98,0.04,Dharmavaram,160,Andhra Pradesh 
2328,J SURYA NARAYANA,Independent,73,0,73,0.03,Dharmavaram,160,Andhra Pradesh 
2329,DASARI KAVITHA,Independent,181,3,184,0.08,Dharmavaram,160,Andhra Pradesh 
2330,N DHANUNJAYA,Independent,131,0,131,0.06,Dharmavaram,160,Andhra Pradesh 
2331,BILLE NARENDRA,Independent,137,0,137,0.06,Dharmavaram,160,Andhra Pradesh 
2332,BEERE SOMA SEKHAR,Independent,249,2,251,0.11,Dharmavaram,160,Andhra Pradesh 
2333,RAVINDRA REDDY NAGU,Independent,611,0,611,0.28,Dharmavaram,160,Andhra Pradesh 
2334,D SREERAMULU NAIK,Independent,465,1,466,0.21,Dharmavaram,160,Andhra Pradesh 
2335,NOTA,None of the Above,1767,20,1787,0.81,Dharmavaram,160,Andhra Pradesh 
2336,KANDIKUNTA VENKATA PRASAD,Telugu Desam,101191,2419,103610,49.54,Kadiri ,161,Andhra Pradesh 
2337,MAQBOOL B.S.,Yuvajana Sramika Rythu Congress Party,96229,1116,97345,46.54,Kadiri ,161,Andhra Pradesh 
2338,Y. RAMACHANDRA,Bahujan Samaj Party,935,2,937,0.45,Kadiri ,161,Andhra Pradesh 
2339,K.S. SHANWAZ,Indian National Congress,3269,45,3314,1.58,Kadiri ,161,Andhra Pradesh 
2340,M. RAJENDRA,Pyramid Party of India,171,2,173,0.08,Kadiri ,161,Andhra Pradesh 
2341,SHREESAILAM MURALI,Radical Party of India (Ambedkarist),77,1,78,0.04,Kadiri ,161,Andhra Pradesh 
2342,KADIRISANI ESWARAIAH,Independent,93,1,94,0.04,Kadiri ,161,Andhra Pradesh 
2343,G. KHAJAMAINUDDIN,Independent,117,0,117,0.06,Kadiri ,161,Andhra Pradesh 
2344,TAMMUTA SURESH,Independent,98,0,98,0.05,Kadiri ,161,Andhra Pradesh 
2345,PONTHALA PALAKONDAMA NAIDU,Independent,141,2,143,0.07,Kadiri ,161,Andhra Pradesh 
2346,BANOTH SURESH NAIK,Independent,105,2,107,0.05,Kadiri ,161,Andhra Pradesh 
2347,S. MAKBUL BASHA,Independent,227,1,228,0.11,Kadiri ,161,Andhra Pradesh 
2348,YADALLA RAJESH KUMAR,Independent,389,0,389,0.19,Kadiri ,161,Andhra Pradesh 
2349,NOTA,None of the Above,2497,22,2519,1.2,Kadiri ,161,Andhra Pradesh 
2350,K. SUJATHA,Bahujan Samaj Party,737,1,738,0.39,Thamballapalle ,162,Andhra Pradesh 
2351,M.N. CHANDRA SHEKAR REDDY,Indian National Congress,3418,26,3444,1.83,Thamballapalle ,162,Andhra Pradesh 
2352,D. JAYACHANDRA REDDY,Telugu Desam,82947,1086,84033,44.73,Thamballapalle ,162,Andhra Pradesh 
2353,P. DWARAKANATHA REDDY,Yuvajana Sramika Rythu Congress Party,93416,720,94136,50.11,Thamballapalle ,162,Andhra Pradesh 
2354,ANJALI PEETLARAJANALA,Jai Bharat National Party,630,7,637,0.34,Thamballapalle ,162,Andhra Pradesh 
2355,D. JAYA CHANDRA REDDY,Jatiya Jana Sena Party,300,2,302,0.16,Thamballapalle ,162,Andhra Pradesh 
2356,GUNDALA KRISHNAPPA,Independent,343,0,343,0.18,Thamballapalle ,162,Andhra Pradesh 
2357,Y.DWARAKANATHA REDDY,Independent,304,1,305,0.16,Thamballapalle ,162,Andhra Pradesh 
2358,N. NARASIMHULU,Independent,266,0,266,0.14,Thamballapalle ,162,Andhra Pradesh 
2359,P.V. VENKATAREDDY,Independent,475,0,475,0.25,Thamballapalle ,162,Andhra Pradesh 
2360,M. SURESH,Independent,801,2,803,0.43,Thamballapalle ,162,Andhra Pradesh 
2361,NOTA,None of the Above,2373,11,2384,1.27,Thamballapalle ,162,Andhra Pradesh 
2362,CHINTHALA RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party,79498,1003,80501,41.55,Pileru,163,Andhra Pradesh 
2363,NALLARI KISHAN KUMAR REDDY,Telugu Desam,103136,2446,105582,54.5,Pileru,163,Andhra Pradesh 
2364,BALIREDDY SOMASHEKAR REDDY,Indian National Congress,3367,36,3403,1.76,Pileru,163,Andhra Pradesh 
2365,M.C. VENKATARAMANA,Bahujan Samaj Party,490,8,498,0.26,Pileru,163,Andhra Pradesh 
2366,G. ANKALESWARI,Ambedkar National Congress,231,1,232,0.12,Pileru,163,Andhra Pradesh 
2367,M. VIJAY KUMAR,Jai Maha Bharath Party,96,0,96,0.05,Pileru,163,Andhra Pradesh 
2368,ASADI VENKATADRI,Independent,97,0,97,0.05,Pileru,163,Andhra Pradesh 
2369,K. CHINNA REDDEPPA REDDY,Independent,153,0,153,0.08,Pileru,163,Andhra Pradesh 
2370,K. BRAHMAIAH ACHARI,Independent,622,0,622,0.32,Pileru,163,Andhra Pradesh 
2371,V.MANJUNATH,Independent,183,2,185,0.1,Pileru,163,Andhra Pradesh 
2372,Y. MAHESH REDDY,Independent,173,1,174,0.09,Pileru,163,Andhra Pradesh 
2373,P. RAMA KRISHNA REDDY,Independent,329,0,329,0.17,Pileru,163,Andhra Pradesh 
2374,NOTA,None of the Above,1857,12,1869,0.96,Pileru,163,Andhra Pradesh 
2375,NARASIMHULU RASINTHI,Bahujan Samaj Party,1204,16,1220,0.6,Madanapalle,164,Andhra Pradesh 
2376,S.NISAR AHAMAD,Yuvajana Sramika Rythu Congress Party,91626,845,92471,45.58,Madanapalle,164,Andhra Pradesh 
2377,MALLELA PAVAN KUMAR REDDY,Indian National Congress,5940,111,6051,2.98,Madanapalle,164,Andhra Pradesh 
2378,M.SHAJAHAN BASHA,Telugu Desam,95745,2235,97980,48.3,Madanapalle,164,Andhra Pradesh 
2379,ADIVIPALLE KRISHNAPPA,Pyramid Party of India,304,1,305,0.15,Madanapalle,164,Andhra Pradesh 
2380,M.BHASKAR,Jai Bharat National Party,152,1,153,0.08,Madanapalle,164,Andhra Pradesh 
2381,NARRAVULA MANI SANKAR,Jaathia Chethi Vruthula Ikya Vedika Party,121,0,121,0.06,Madanapalle,164,Andhra Pradesh 
2382,V.UMADEVI,Independent,210,3,213,0.1,Madanapalle,164,Andhra Pradesh 
2383,M.GULNAZ BEGUM,Independent,142,0,142,0.07,Madanapalle,164,Andhra Pradesh 
2384,S.JAYASIMHA,Independent,185,1,186,0.09,Madanapalle,164,Andhra Pradesh 
2385,SHAIK NISAR AHAMAD,Independent,475,4,479,0.24,Madanapalle,164,Andhra Pradesh 
2386,B.NARASIMHA NAIK,Independent,121,1,122,0.06,Madanapalle,164,Andhra Pradesh 
2387,RAYADURGAM JANARDHANA,Independent,137,1,138,0.07,Madanapalle,164,Andhra Pradesh 
2388,S.SAJAHAN,Independent,1280,8,1288,0.63,Madanapalle,164,Andhra Pradesh 
2389,SHAIK AZID BASHA,Independent,242,1,243,0.12,Madanapalle,164,Andhra Pradesh 
2390,NOTA,None of the Above,1732,27,1759,0.87,Madanapalle,164,Andhra Pradesh 
2391,CHALLA RAMACHANDRA REDDY,Telugu Desam,93155,1543,94698,45.16,Punganur,165,Andhra Pradesh 
2392,PEDDIREDDI RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party,99774,1019,100793,48.07,Punganur,165,Andhra Pradesh 
2393,G MURALI MOHAN YADAV,Indian National Congress,3546,25,3571,1.7,Punganur,165,Andhra Pradesh 
2394,VASANTHAPALLI SURESH,Bahujan Samaj Party,679,8,687,0.33,Punganur,165,Andhra Pradesh 
2395,K S ANWAR BASHA,Social Democratic Party Of India,1894,12,1906,0.91,Punganur,165,Andhra Pradesh 
2396,BODE RAMACHANDRA YADAV,Bharatha Chaitanya Yuvajana Party,4423,136,4559,2.17,Punganur,165,Andhra Pradesh 
2397,I NAGESWAR RAO,Independent,242,0,242,0.12,Punganur,165,Andhra Pradesh 
2398,G RAMAIAH,Independent,314,0,314,0.15,Punganur,165,Andhra Pradesh 
2399,NOTA,None of the Above,2884,20,2904,1.39,Punganur,165,Andhra Pradesh 
2400,CHEVIREDDY MOHITH REDDY,Yuvajana Sramika Rythu Congress Party,98304,1511,99815,39.1,Chandragiri ,166,Andhra Pradesh 
2401,VENKATA MANI PRASAD PULLIVARTHI,Telugu Desam,140861,2806,143667,56.29,Chandragiri ,166,Andhra Pradesh 
2402,K SRINIVASULU,Indian National Congress,2957,14,2971,1.16,Chandragiri ,166,Andhra Pradesh 
2403,P.KARTHIK,Jatiya Jana Sena Party,741,3,744,0.29,Chandragiri ,166,Andhra Pradesh 
2404,K ESWARAIAH,Liberation Congress Party,227,1,228,0.09,Chandragiri ,166,Andhra Pradesh 
2405,THURAKA AMARANATH,Jai Bharat National Party,146,4,150,0.06,Chandragiri ,166,Andhra Pradesh 
2406,L.PRASAD,Jaathia Chethi Vruthula Ikya Vedika Party,115,0,115,0.05,Chandragiri ,166,Andhra Pradesh 
2407,MAHESH BABU MALLELA,Revolutionary Socialist Party,286,0,286,0.11,Chandragiri ,166,Andhra Pradesh 
2408,M.NEELAKANTA,Jai Hindustan Party,121,0,121,0.05,Chandragiri ,166,Andhra Pradesh 
2409,MOHAN DILEEP KUMAR,United Republican Party of India,91,0,91,0.04,Chandragiri ,166,Andhra Pradesh 
2410,PATHIPUTTURU VISWANATHA REDDY,Naba Bharata Nirmana Seva Party,75,0,75,0.03,Chandragiri ,166,Andhra Pradesh 
2411,DUDEKULA ALTAF,Independent,96,1,97,0.04,Chandragiri ,166,Andhra Pradesh 
2412,EDDALA SRINATH,Independent,139,0,139,0.05,Chandragiri ,166,Andhra Pradesh 
2413,C.N.SARAVANAA,Independent,177,5,182,0.07,Chandragiri ,166,Andhra Pradesh 
2414,T.GOWTHAMA RAO,Independent,339,13,352,0.14,Chandragiri ,166,Andhra Pradesh 
2415,C PAYANI,Independent,594,0,594,0.23,Chandragiri ,166,Andhra Pradesh 
2416,AKKILIGUNTA MADHU,Independent,693,0,693,0.27,Chandragiri ,166,Andhra Pradesh 
2417,K RAJESH,Independent,762,0,762,0.3,Chandragiri ,166,Andhra Pradesh 
2418,RAMBABU DASARI,Independent,138,0,138,0.05,Chandragiri ,166,Andhra Pradesh 
2419,P.VENKATAKRISHNA MURTHY,Independent,2014,8,2022,0.79,Chandragiri ,166,Andhra Pradesh 
2420,P.SREEDHAR,Independent,68,0,68,0.03,Chandragiri ,166,Andhra Pradesh 
2421,K.SAI CHANDRIKA,Independent,71,0,71,0.03,Chandragiri ,166,Andhra Pradesh 
2422,S.RAJASEKHAR,Independent,54,0,54,0.02,Chandragiri ,166,Andhra Pradesh 
2423,HARI RAM VADRAYALA,Independent,114,0,114,0.04,Chandragiri ,166,Andhra Pradesh 
2424,NOTA,None of the Above,1669,31,1700,0.67,Chandragiri ,166,Andhra Pradesh 
